,gene,log2FoldChange,pvalue,mean_NAFL,mean_NASH,t_statistic,padj
5099,AEN,0.7393389557900943,1.422078405843246e-12,99.3921568627451,166.59574468085106,8.251463558990189,3.932835824029534e-10
6297,ACLY,0.7747254468953227,1.569157374588084e-12,280.15686274509807,480.02127659574467,8.188345942760614,4.1621075428795244e-10
4901,ANXA2,1.1561398487711234,1.585427606797248e-12,465.4117647058824,1038.4468085106382,8.747617115112556,4.1621075428795244e-10
4132,COL4A2,1.1653418267253302,1.592815366348135e-12,232.11764705882354,521.8510638297872,8.503878131337434,4.1621075428795244e-10
10605,PLXND1,0.5717260987016068,1.7817907735899764e-12,433.2352941176471,644.4042553191489,8.160906529305441,4.578311392739444e-10
1263,IER5,0.6222877371932027,1.8202680931187317e-12,85.94117647058823,132.82978723404256,8.163461359775978,4.600503801903522e-10
104,CLSTN1,0.697193952586254,1.936823024269256e-12,187.7843137254902,305.0851063829787,8.142097033710591,4.816129123412762e-10
8166,EMILIN1,0.7464468759178455,2.0033230848494748e-12,263.27450980392155,442.36170212765956,8.12725902842007,4.902417777638786e-10
14865,ABCA2,0.5884537819326282,2.5107284211726467e-12,697.0392156862745,1048.595744680851,8.02855166027106,5.864833343821015e-10
14713,STXBP1,0.6497642286931462,2.4898567410551805e-12,42.09803921568628,66.61702127659575,8.028410559650139,5.864833343821015e-10
1056,LMNA,0.4654694838146264,2.4349022452514462e-12,688.1176470588235,950.5106382978723,8.098399511711222,5.864833343821015e-10
6364,GRN,0.5557481167572901,2.7096960570789864e-12,1217.6274509803923,1790.2978723404256,8.057741119995516,6.235131957012945e-10
10561,HEG1,0.7358515018714246,2.8610583196029908e-12,231.3921568627451,386.02127659574467,7.999471209928582,6.449326888322705e-10
14812,ADAMTSL2,1.1033933714811666,2.88644713818685e-12,247.01960784313727,531.8936170212766,8.483527064158768,6.449326888322705e-10
12528,CDKN1A,0.9369836370077738,3.0250288436170905e-12,459.4117647058824,880.468085106383,8.08360487449511,6.662409954577811e-10
9914,ACO2,0.5889520501524608,3.3493160129676558e-12,503.84313725490193,758.3617021276596,7.966451155447869,7.253892817614449e-10
8072,PXDN,0.7099688889356539,3.3876907496156212e-12,220.7058823529412,361.6595744680851,7.964331156861541,7.253892817614449e-10
1106,PEA15,0.545768420749791,3.5211432449560852e-12,400.8627450980392,585.6382978723404,7.990509861761343,7.436365124313419e-10
2480,PACSIN3,-0.7899467329515302,3.974354969469937e-12,430.921568627451,248.80851063829786,-8.159582042496686,8.280085211394328e-10
15015,UBA1,0.5099976504089523,4.049834771366897e-12,981.7843137254902,1398.531914893617,7.953569188375729,8.324840356021794e-10
15389,MPP1,0.49764070074767947,4.46545062756648e-12,303.5686274509804,429.02127659574467,7.908378967217368,9.058401621735844e-10
12126,NEURL1B,0.7133787738485903,5.5951304089896685e-12,221.0,363.0,7.9762408320314755,1.1202613703297886e-09
2307,TPP1,0.4672188999838095,5.901785189841605e-12,1445.3921568627452,1998.5531914893618,7.849707838704608,1.1665105419460004e-09
3236,PLBD1,0.6298041970219082,5.977679533185039e-12,68.54901960784314,106.61702127659575,7.910069190687095,1.1665555109254904e-09
5874,SLC43A2,0.7175554904658757,6.0540728752223726e-12,89.27450980392157,147.4468085106383,7.898041575809923,1.1666955189662914e-09
15083,MAGED2,0.513760911822466,6.372516966899633e-12,530.8823529411765,758.4042553191489,7.834636392058229,1.2054956487627863e-09
13862,DPYSL2,0.6918595647574177,6.411794979473859e-12,217.0392156862745,351.21276595744683,7.8503443164211335,1.2054956487627863e-09
12070,SPARC,0.5787642656454156,6.504987357163735e-12,1601.8431372549019,2392.9574468085107,7.83829982712186,1.2082818082577507e-09
11568,ADAMTS12,1.0643146169453348,6.711726079713208e-12,11.92156862745098,26.02127659574468,7.997524667777982,1.2318414401302205e-09
1855,PSAP,0.4568814507828786,7.515489633308178e-12,10806.078431372549,14832.489361702128,7.800067995396804,1.3472826008920021e-09
14744,SPTAN1,0.5930635836509477,7.488009714346316e-12,880.4901960784314,1328.6808510638298,7.822216380965478,1.3472826008920021e-09
9360,PREX1,0.6718013994048085,7.811334699066263e-12,194.86274509803923,311.02127659574467,7.794126851995426,1.3842223799483286e-09
5348,SNX29,0.6333580361333964,8.505809250854296e-12,121.25490196078431,188.63829787234042,7.774427698970497,1.4841825387585273e-09
10997,WDR1,0.4880109287979601,8.567960430012902e-12,893.156862745098,1253.063829787234,7.805782629043642,1.4841825387585273e-09
2025,HPS1,0.40729912784505284,9.852078847582771e-12,291.37254901960785,386.74468085106383,7.777635633471828,1.6876611065909287e-09
8146,ADCY3,0.7844697226716484,1.0208841677774731e-11,38.72549019607843,67.42553191489361,7.788951911893156,1.7107577407201416e-09
1143,FCGR2A,0.970817922398069,1.0101044314333686e-11,47.470588235294116,94.0,7.979885501811364,1.7107577407201416e-09
9899,MKL1,0.5278236304237667,1.0900024005264397e-11,102.80392156862744,148.6595744680851,7.748512842828715,1.8069426891307657e-09
4131,COL4A1,1.1603451752849794,1.1088025869928552e-11,264.2352941176471,591.8297872340426,8.037037576503844,1.8087513653151326e-09
14822,COL5A1,1.168895391789447,1.114557823862863e-11,111.66666666666667,252.31914893617022,7.979644762956247,1.8087513653151326e-09
6444,COL1A1,1.462475866449651,1.1323457751745771e-11,300.52941176470586,829.9574468085107,8.195031335992866,1.8184765433194224e-09
4033,EBPL,-0.4778914772157674,1.1850218165366275e-11,658.3725490196078,472.4468085106383,-7.847266437846672,1.883451685107751e-09
13879,INTS9,0.5549271128756447,1.2353586489475294e-11,34.96078431372549,51.829787234042556,7.701439335750318,1.9280631641207186e-09
3361,ARF3,0.41632525582038643,1.2381024404744837e-11,608.0784313725491,811.8297872340426,7.7243856563841735,1.9280631641207186e-09
11327,ANXA5,0.7521213207337603,1.2636102465436282e-11,661.4509803921569,1114.7446808510638,7.79964778984157,1.9481079170963115e-09
9368,PTGIS,0.8712633311592337,1.3536367316271726e-11,99.47058823529412,182.7872340425532,7.978413368365963,2.066239355593675e-09
9828,MYH9,0.581528269950912,1.3699591634344428e-11,2328.6666666666665,3485.191489361702,7.697846394484645,2.0706529826145886e-09
